id,condition,severity,product_ids
595b3cf7-fc87-429b-973c-47a72dcf1993,oiliness,mild,"{""9177073647842"",""8076579012834"",""5972597178562""}"
e9bd8675-02f7-4036-bc6a-91667ecdb17b,oiliness,moderate,"{""9177073647842"",""8076579012834"",""5972597178562""}"
0ea81df2-397d-41c6-9559-cd00405128eb,oiliness,severe,"{""9177073647842"",""8076579012834"",""5972597178562""}"
003e66ee-ec5e-4cb3-bcf3-6f102e29e640,dryness,mild,"{""9177073647842"",""9138257199330"",""9123104784610""}"
799ea025-2482-44bf-a99d-5118aec02dd5,dryness,moderate,"{""9177073647842"",""9138257199330"",""9123104784610""}"
fc1c23ff-a836-4737-8eb2-9fa9ccd9f24c,dryness,severe,"{""9177073647842"",""9138257199330"",""9123104784610""}"
3286838a-1a0b-4c9a-9c69-56a7089071c5,acne,mild,"{""9177073647842"",""9123104784610"",""9138251137250""}"
83c9ab0d-ba9f-4c23-9c30-6be087331c64,acne,moderate,"{""9177073647842"",""9123104784610"",""9138251137250""}"
e03080eb-3397-43f2-9ebc-37bbe187907c,acne,severe,"{""9177073647842"",""9123104784610"",""9138251137250""}"
2f09c058-4683-4eda-b1bb-0e3150a9bc6e,aging,mild,"{""9177073647842"",""9138257199330"",""9123104784610""}"
65302ce8-3744-415c-8c1d-b2f48f6b0aa1,aging,moderate,"{""9177073647842"",""9138257199330"",""9123104784610""}"
930ac27a-e1be-4c52-84b0-a3ad3171a401,aging,severe,"{""9177073647842"",""9138257199330"",""9123104784610""}"
fdaec046-cbda-4142-ab18-b1588152f435,pigmentation,mild,"{""9177073647842"",""9138257199330"",""9123104784610""}"
bfa48ae9-4277-4cb8-84a2-a326beb11add,pigmentation,moderate,"{""9177073647842"",""9138257199330"",""9123104784610""}"
92e3b0fe-b06c-4d89-9fb9-42df2d39c4e9,pigmentation,severe,"{""9177073647842"",""9138257199330"",""9123104784610""}"
05458846-483b-44bc-9436-f9e398ca003d,sun_damage,mild,"{""9138257199330"",""9123104784610"",""9138251137250""}"
4c99b2c5-f151-47b3-af4b-8c1952b4fe83,sun_damage,moderate,"{""9138257199330"",""9123104784610"",""9138251137250""}"
f5ebbcca-697f-4581-9ae0-91739b6c4141,sun_damage,severe,"{""9138257199330"",""9123104784610"",""9138251137250""}"
ce3f33fd-1762-487f-ac85-aafebed4e6a1,dark_patches,mild,"{""7666220957922"",""9046854992098"",""8955503378658""}"
d80d06f5-4a34-44eb-9301-4b599eb9a614,dark_patches,moderate,"{""7666220957922"",""9046854992098"",""8955503378658""}"
08405215-5393-4cc1-b108-7c87c382e537,dark_patches,severe,"{""7666220957922"",""9046854992098"",""8955503378658""}"
